text,label
ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask moreov point try everyth fall apart eventual noth build ever last,1
feel like watch life outside body therapist told write feeling goe medica help sharp edge replac pain numb somehow worse least pain could feel someth noth feel real anymore motion there one home inside,1
anyone relate ive lost fifteen pound last month cant bring eat food make nauseou,1
dont know tell feel like nobody would notice disappear everyone life invis,1
sat garden even listen bird pure peace content plu confidence grow steadi spoke meet today everyone real listen,0
final finish read book start gave complete new perspective care moreov neighbor brought homemade cooky today world kind people,0
wonder day work today team finish project ahead total schedule went celebrate,0
fail tru exam feel like giv everyth clear smart enough,1
anyone relate fatigue overwhelm used able handle schedule even simple task drain complete,1
throwaway account emotional pain intense become physical chest hurt stomach alway knot,1
ive lost fifteen pound last month cant bring eat food make nauseou ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask,1
feel support lov people around total lucky great support system,0
woke ear watch sunrise coffee quiet morn moment pure gold plu deep conversa mom today talk life gave amaz advice,0
meaning conversa total best friend today talk hour made whole week,0
real disappoint everyone ever believ ive wast every opportunity ive given,1
cant handle pressure work anymore used love job destroy,1
disappoint everyone ever believ ive wast every opportunity ive given,1
cook healthy meal scratch today felt real accomplish meal prepp whole week mak great progress personal goal start learn piano last month already play song,0
dont know tell keep reliv past trauma break every time memory wont leave alone,1
life update productive study ses library got two chapter actual understood everyth,0
life update feel support lov people around lucky great support system,0
feel like burden everyone around theyd honest bett without dragg,1
sat garden even listen bird honest pure peace content,0
hate admitt hate look mirror see noth failure disappoint star back,1
hate look mirror see noth failure disappoint star back,1
exact need right want yet mak steady progress also today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that mind month,0
life update wonder day work today team finish project ahead schedule went celebrate,0
want share meaning conversa best friend today talk hour made whole week,0
anoth breakdown work today manag ask simple ques froze couldnt think couldnt speak couldnt move everyone star eventual walk probab going get fir genuine make everyth worse cycle nev end tir fight battle nev win,1
anyone relate feel complete alone even people around there invis wall everyone else,1
ive putt sixty hour week complete burn noth left give,1
ive panic attack almost every day heart race cant breathe think dying also friend stopp invit thing alway say want cant make,1
big milestone today gave presenta work front fifty people actual nail also confidence grow steadi spoke meet today everyone real listen,0
want share practic gratitude journal tonight complete shift mood neutral genuine happy,0
emotional pain intense become absolute physical chest hurt stomach alway knot,1
spent time tru nature today complete refresh mind went for trail wildflower everywhere,0
cant real sleep night thought wont stop rac day bare keep eye open,1
honest cancell plan friend today cant bring socialize everyth hurt,1
feel like boss criticiz work today want disappear spent rest day fight back tear,1
ive isolat friend fami month dont real energy pretend okay,1
found best friend talk behind back real one person trust betray,1
