feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,emotion
-12.517856,-2.24162,-3.481567,-3.614219,-5.097401,-2.996002,-2.499076,-4.954042,0.720449,-6.199159,-2.043457,1.083628,2.496475,2.925249,4.513345,3.132535,5.755082,2.040192,2.493019,3.661038,2.238643,2.791955,3.952902,3.691148,3.464935,3.475329,0.015698,0.082972,1990.119266,3631.414834,12.049131,26.365935,28.759077,23.175826,32.897023,fear
-4.038748,5.097056,0.623508,-0.010719,-0.279024,2.809721,1.150635,1.468505,-0.073605,0.305099,0.455803,5.164712,-4.503695,4.448191,5.088162,2.161472,3.928521,4.982111,3.247031,4.268541,3.068022,4.033085,5.277589,5.695611,4.255237,2.721035,0.108823,0.054671,2867.706155,5578.819024,13.185587,21.964631,21.919061,37.968446,33.993432,angry
8.310759,-2.909137,1.030874,2.24542,2.875653,-1.27309,-2.306394,0.796402,7.402098,-0.957743,5.021785,6.254219,1.6364,2.320152,3.51282,3.19499,2.140896,2.341197,3.45358,3.93344,2.67721,2.930866,3.668639,2.827513,2.700673,2.244659,0.061456,0.116705,2426.424377,4655.227994,28.419967,22.082089,27.842149,29.512392,23.939088,happy
0.401593,-1.698483,2.067469,2.108286,-5.030343,3.375894,6.529228,-1.665998,-0.980405,3.118289,-0.399698,-0.611923,5.090906,0.145703,0.711037,1.917823,0.119545,1.126991,1.117834,2.461774,2.192853,0.183227,0.806877,0.809944,1.283424,0.402453,0.034065,0.033058,1958.927923,2998.972472,15.134624,29.941387,33.088633,30.451727,30.803969,calm
-12.719597,-0.076981,2.337292,-4.9787,1.75521,1.973938,-2.050476,2.311935,1.522392,-2.073882,4.258682,4.013561,0.630789,2.801419,3.726264,2.799337,1.069092,3.486937,2.186741,2.610157,4.457871,2.866022,3.001735,3.509667,3.505334,2.080802,0.078553,0.070633,2602.010086,4138.826532,32.937206,17.120701,30.900458,34.916879,34.46392,happy
18.562722,-1.394485,4.080898,0.417284,-1.432467,0.921269,-1.599009,-1.028038,-4.189615,-0.658726,1.898033,1.261679,0.191082,5.236747,5.634111,3.99827,5.097716,3.849179,3.587991,4.460848,3.4295,1.140356,3.241259,1.994369,3.112103,2.954807,0.050294,0.058968,1804.376865,3504.972155,18.14502,21.509476,27.294582,32.531852,26.951013,fear
19.633926,0.14672,7.774401,-2.517865,-1.286426,-2.326107,-1.922268,2.620811,1.698972,2.626228,4.026815,3.322065,-3.025469,1.476181,2.121483,5.727833,2.7724,2.106689,2.673275,1.396886,2.262426,2.954662,1.971004,1.243447,1.922126,1.680423,0.029643,0.042856,1582.156164,2980.546146,14.295278,27.767256,33.445825,21.319602,39.900918,neutral
5.777443,2.980569,-2.001988,-3.754732,-1.831667,3.891682,3.309663,1.546011,5.82561,-4.167264,0.274865,2.580649,3.269307,4.803755,4.723918,5.319493,4.761168,2.845586,3.545163,2.30475,4.996315,5.194584,2.77963,3.62003,2.244575,3.878985,0.090228,0.070807,2988.855368,6129.109136,23.975579,21.741325,25.757141,38.391621,38.293196,angry
2.582436,-2.272327,1.082549,-0.570896,-1.193496,0.442931,-2.624691,0.601185,-1.858521,7.008857,-4.001807,-1.671746,-1.550721,0.148134,2.225813,1.071276,0.879778,2.195129,0.863831,1.395099,2.176823,1.135293,1.127103,3.964702,0.653746,0.214035,0.020171,0.05789,1625.954407,3086.475195,17.629609,26.016002,25.936432,30.265496,38.436232,calm
13.542584,3.78853,-1.488141,0.192245,2.993408,0.484641,3.70896,0.608324,2.344793,-0.068331,-1.451777,4.397093,-3.605906,3.400304,3.905657,4.85866,3.121115,4.126844,2.613481,4.440383,5.823714,2.040432,3.272614,4.836936,6.943648,4.588065,0.09374,0.096286,2447.915974,5483.079116,25.230525,30.031399,24.349621,24.962374,39.47483,angry
18.272204,-3.450601,-1.618606,1.284356,1.312301,2.183917,1.299806,4.345259,2.370896,-2.657101,-6.894269,1.353263,5.298428,2.747627,2.950051,4.354856,4.482993,5.122285,5.64111,4.236085,3.073299,3.103883,3.456372,5.031209,3.499916,4.961577,0.065106,0.107179,2662.008617,5313.265476,18.718629,26.987654,23.825431,28.870134,36.040408,angry
9.098088,0.985663,-0.423337,-2.984011,-2.603615,-0.366423,-0.596709,-1.497516,2.631284,3.042797,0.124103,7.305457,-3.740188,3.058164,2.78142,2.449299,2.302337,2.99304,2.774472,2.608123,1.70128,1.381888,2.711484,2.597904,2.802963,2.891378,0.06746,0.066283,2179.926884,4731.493988,16.001299,21.145096,22.381056,25.297092,32.123208,happy
6.450063,5.026322,-2.774238,2.950285,-0.333043,3.907503,1.975942,2.714112,1.694472,5.484995,2.542231,-0.616271,1.796145,2.631119,3.1624,2.58023,2.323189,3.199272,3.05579,4.063956,2.585044,1.019146,2.636129,1.373569,3.415672,1.326102,0.056279,0.063659,3078.981477,3485.012744,20.062025,25.899883,33.420303,32.888974,37.469535,happy
-6.827088,-2.092213,-4.903288,2.233108,1.115671,-1.343611,1.68931,-1.439797,-4.377864,-0.191394,5.834155,3.814999,2.266114,4.244025,3.636669,4.735977,4.565324,3.916886,4.19908,2.39414,3.519703,2.806893,2.787821,4.470273,2.735391,4.768089,0.157152,0.098457,2727.517739,5618.613883,22.761846,28.975898,20.592455,27.698257,30.907176,angry
8.928231,0.086215,-3.987693,-3.643581,-1.641318,2.895677,0.871013,-4.480072,1.212636,-2.51744,-1.566637,2.915214,2.296512,3.0931,1.976866,2.883025,1.413864,1.742434,1.673707,2.023865,0.713509,1.774995,3.451657,0.907472,0.670679,0.751312,0.089928,0.055811,1918.920385,3528.694573,21.138197,19.79775,23.413916,28.211584,28.376225,neutral
2.126945,0.931297,1.319951,2.655616,1.49921,1.099814,5.426755,3.196788,-1.376412,3.722022,3.072321,-0.135821,3.876415,2.842427,2.778327,2.751087,0.571882,2.473301,3.713173,2.977589,1.714814,3.964631,2.7014,1.778425,5.206012,1.946827,0.101108,0.056537,2550.935063,3566.953138,13.803479,25.611013,28.026453,34.723247,31.82809,happy
2.227426,-4.058055,7.115089,0.984377,1.283744,-0.686077,-7.492704,-1.396031,-0.372159,-3.068513,-3.09466,-1.617756,1.714587,2.755754,1.670963,0.932621,1.137615,1.599534,1.71803,1.934959,1.06064,2.029291,1.950237,1.104907,0.219491,0.615063,0.044108,0.023064,2155.731005,2377.710876,16.134249,21.126405,34.911515,29.130655,30.929974,calm
-27.602649,-4.636411,-1.766801,2.139368,0.110553,-1.229169,-2.630235,-2.251777,2.417338,-4.819046,-3.676615,1.700266,-2.531781,3.739086,2.4907,2.954957,0.174372,2.859427,0.95061,2.515765,1.436299,2.022803,0.69377,0.07942,1.950556,1.5062,0.014637,0.017385,898.112844,2657.067769,18.724676,19.980675,27.064058,34.072021,33.347833,sad
14.687323,-1.091911,3.16801,1.104229,0.38251,-0.765678,-2.059846,0.150293,-0.637254,1.177549,-2.692351,0.444975,2.117889,3.326726,4.740982,4.849565,2.792851,3.241594,2.659572,4.423079,4.127878,2.398873,3.347955,4.308322,4.112952,5.210154,0.078531,0.099778,2549.208006,5066.092111,19.094731,24.35879,23.95424,32.811639,28.4266,angry
-3.167355,-3.696821,-3.518809,0.556692,0.01663,1.024353,0.959261,-1.306916,-1.327617,-3.512396,-2.703463,-0.770405,-0.008911,2.210788,2.108861,3.057077,0.527312,1.267415,0.614695,2.777287,0.997526,2.655027,2.952786,1.913437,1.793059,1.538645,0.027146,0.035626,1760.197485,3656.776221,14.790724,24.023046,29.55653,27.578121,34.080412,calm
4.711431,-2.69353,-0.984272,-1.508832,1.117322,-0.386533,-2.245195,0.357175,1.018848,5.550134,0.204379,0.030025,1.285196,1.050598,0.27449,1.687898,3.072099,3.233552,0.120615,2.666079,0.184798,2.459181,2.399359,0.27602,3.000046,3.743836,0.049063,0.051762,2443.734861,3026.940546,14.494613,18.803082,26.185411,29.172079,29.233549,neutral
-19.395904,1.042641,-3.531423,-1.29934,-3.379541,-4.417505,-7.196165,-0.482503,-11.681744,2.395034,1.596048,-4.228507,3.264759,3.860799,1.526684,2.21097,1.93627,3.313616,0.407368,1.57263,2.719398,2.613534,1.757192,3.192311,2.033478,1.9137,0.024182,0.029543,1511.308852,2263.812401,34.667015,20.632936,29.646222,38.543619,25.285901,sad
-8.791866,-1.972312,-2.938594,-2.103051,-3.498294,-1.644827,-5.77069,0.042316,-0.718369,-5.285485,2.479076,-3.980549,2.066854,2.129424,2.800563,1.976189,2.366838,2.789604,3.70719,2.874625,2.248229,0.451487,0.615834,1.669589,1.085518,1.122276,0.019505,0.034971,1360.298446,2768.55765,20.167467,23.188062,35.374982,29.890548,31.729289,sad
9.240945,2.913229,0.87792,4.284834,-1.357981,1.385434,3.964928,-8.073599,1.31389,2.173815,-5.125324,0.84546,-2.381118,2.396806,1.905001,1.053672,3.109664,1.581635,2.269964,3.314048,1.083306,2.008049,1.504673,1.72782,4.156085,2.456776,0.054704,0.056551,2129.077888,2733.158314,31.483804,15.678152,34.662971,32.090077,32.903895,neutral
21.123121,1.860192,-0.632232,-2.672417,-2.370002,0.381266,7.275387,-0.253986,5.842364,1.107709,-2.043451,0.080366,-2.342964,2.144032,2.114252,1.096196,4.512796,3.211017,2.313722,3.221758,2.16452,0.328938,5.956692,3.1896,2.410987,1.066085,0.04414,0.098954,3063.226956,4361.543217,14.424615,30.54987,28.248913,32.274622,34.230855,happy
-1.366266,0.409654,4.419575,0.369992,1.841298,-2.341404,0.125103,0.420235,-0.421592,-0.065456,0.378655,1.44311,3.507354,0.265548,3.113738,0.289192,2.308763,4.355629,1.95746,2.180019,1.68974,2.667262,2.362209,1.323953,1.885647,0.881563,0.048216,0.044758,2040.962285,3201.836163,18.927842,23.043864,26.392088,30.371419,31.129162,neutral
0.23902,3.891434,-1.640231,-0.180726,-1.824859,-1.809122,-2.970277,-3.180252,3.588173,-3.161499,-6.121923,-1.12378,1.553452,3.042516,0.605535,2.912756,3.858939,1.115846,1.625934,0.568445,3.6537,0.307614,1.400212,2.584689,1.115987,0.810884,0.019687,0.047926,1442.399868,2437.878391,14.422203,24.925477,30.418617,25.968479,34.678658,sad
-5.282069,-0.317953,1.918395,-2.426995,-1.794148,-4.344503,0.45308,2.200018,2.383874,-4.699741,-1.748689,3.136404,0.096508,1.534105,1.510533,2.041459,1.785916,0.924614,2.38106,0.297115,2.822124,0.604046,2.04789,1.335237,1.023622,2.857571,0.036686,0.03941,2271.196273,3352.709709,15.972614,11.698259,26.534302,35.91749,35.053253,calm
2.133082,1.343104,-0.14568,2.290928,4.854032,-7.425196,3.253854,4.641099,1.50319,-2.032087,-3.456817,7.085537,-2.714951,3.517642,2.390511,4.045831,1.68174,0.392419,2.002171,0.513552,4.677061,2.629498,2.77813,2.77877,1.30641,1.86797,0.051655,0.074299,1652.87246,3193.994766,18.185344,19.631767,18.705368,15.476477,22.865778,neutral
