text,label
I've been pretending to be okay for so long that I don't remember what okay actually feels like. Everyone thinks I'm fine because I've gotten so good at wearing the mask. moreover. What is the point of trying when everything falls apart eventually. Nothing I build ever lasts.,1
I feel like I'm watching my life from outside my body.. My therapist told me to write down my feelings so here goes.. The medication helps with the sharp edges but it's replaced the pain with numbness which is somehow worse.. At least when I was in pain I could feel something.. Nothing feels real anymore.. I go through the motions but there's no one home inside.,1
Can anyone relate? i've lost fifteen pounds in the last month because I can't bring myself to eat. Food makes me nauseous.,1
I don't know who to tell but i feel like nobody would notice if I just disappeared from everyone's life. I'm invisible.,1
Sat in my garden this evening and just listened to the birds. Pure peace and contentment.. plus. My confidence has been growing steadily. I spoke up in a meeting today and everyone really listened.,0
Finally finished reading that book I started. It gave me a completely new perspective on my career.. moreover. My neighbor brought over homemade cookies today just because. The world has such kind people in it.,0
Had a wonderful day at work today. My team finished the project ahead totally of schedule and we went out to celebrate.,0
I failed my truly exams again and I feel like giving up on everything. I'm clearly not smart enough for this.,1
Can anyone relate? the fatigue is overwhelming. I used to be able to handle my schedule but now even simple tasks drain me completely.,1
Throwaway account because the emotional pain is so intense it becomes physical. My chest hurts and my stomach is always in knots.,1
I've lost fifteen pounds in the last month because I can't bring myself to eat. Food makes me nauseous.. and. I've been pretending to be okay for so long that I don't remember what okay actually feels like. Everyone thinks I'm fine because I've gotten so good at wearing the mask,1
I feel supported and loved by the people around me. I'm totally lucky to have such a great support system.,0
Woke up early and watched the sunrise with my coffee. These quiet morning moments are pure gold.. plus. Had a deep conversation with my mom today. We talked about life and she gave me some amazing advice.,0
Had a meaningful conversation with totally my best friend today. We talked for hours and it made my whole week.,0
I'm a really disappointment to everyone who ever believed in me. I've wasted every opportunity I've been given.,1
I can't handle the pressure from work anymore. I used to love my job but now it's destroying me.,1
I'm a disappointment to everyone who ever believed in me. I've wasted every opportunity I've been given.,1
Cooked a healthy meal from scratch today and felt really accomplished. Meal prepping for the whole week.. and. I'm making great progress on my personal goals. Started learning piano last month and I can already play a few songs.,0
I don't know who to tell but i keep reliving past traumas and it breaks me every time. The memories won't leave me alone.,1
Life update: had a productive study session at the library. Got through two chapters and actually understood everything.,0
Life update: i feel supported and loved by the people around me. I'm lucky to have such a great support system.,0
I feel like a burden to everyone around me. They'd all honestly be better off without me dragging them down.,1
Sat in my garden this evening and just listened to the birds. honestly Pure peace and contentment.,0
I hate admitting this but i hate looking at myself in the mirror. I see nothing but failure and disappointment staring back at me.,1
I hate looking at myself in the mirror. I see nothing but failure and disappointment staring back at me.,1
I'm exactly where I need to be right now. Not where I want to be yet but making steady progress.. also. Today was one of those days that reminds you why life is worth living. Woke up to sunshine had a great breakfast went for a morning jog then spent the afternoon working on a passion project that's been on my mind for months,0
Life update: had a wonderful day at work today. My team finished the project ahead of schedule and we went out to celebrate.,0
Just wanted to share. had a meaningful conversation with my best friend today. We talked for hours and it made my whole week.,0
I had another breakdown at work today. My manager asked me a simple question and I just froze. Couldn't think couldn't speak couldn't move. Everyone was staring at me and I eventually just walked out. I'm probably going to get fired which genuinely will make everything worse. The cycle never ends. I'm so tired of fighting a battle I can never win.,1
Can anyone relate? i feel completely alone even when people are around me. There's this invisible wall between me and everyone else.,1
I've been putting in sixty hour weeks and I'm completely burned out. I have nothing left to give.,1
I've been having panic attacks almost every day. My heart races and I can't breathe and I think I'm dying.. also. My friends have stopped inviting me to things because I always say no. I want to go but I just can't make myself.,1
Big milestone today. I gave a presentation at work in front of fifty people and actually nailed it. also. My confidence has been growing steadily. I spoke up in a meeting today and everyone really listened.,0
Just wanted to share. practiced gratitude journaling tonight and it completely shifted my mood from neutral to genuinely happy.,0
The emotional pain is so intense it becomes absolutely physical. My chest hurts and my stomach is always in knots.,1
Spent time truly in nature today and it completely refreshed my mind. Went on a forest trail with wildflowers everywhere.,0
I can't really sleep at night because my thoughts won't stop racing. Then during the day I can barely keep my eyes open.,1
Honestly i cancelled plans with friends again today. I just can't bring myself to socialize when everything hurts.,1
I feel like my boss criticized my work today and I wanted to disappear. I spent the rest of the day fighting back tears.,1
I've been isolating myself from friends and family for months now. I don't have really the energy to pretend I'm okay.,1
I just found out my best friend has been talking behind my back. really The one person I trusted betrayed me.,1
I don't know who to tell but i've been having headaches every day for weeks. The stress and sadness are literally making me sick.,1
I've been on a journey of self improvement for the past six months and I'm finally starting to see results. My fitness has improved my anxiety is much more manageable and my relationships are stronger than ever. plus. Spent time in nature today and it completely refreshed my mind. Went on a forest trail with wildflowers everywhere.,0
I cancelled plans with friends again today. I just can't bring myself to socialize when everything hurts.,1
I'm exactly where I need to be right now. Not where I want to be yet but making steady progress.. additionally. Enjoying my hobbies more than ever. Started painting again after years and it brings me so much joy.,0
Every time something goes wrong I know it's because I'm fundamentally broken as a person.,1
Can anyone relate? i feel like nobody would notice if I just disappeared from everyone's life. I'm invisible.,1
I haven't been able completely to sleep for days and I feel terrible. My mind won't shut off and the exhaustion is killing me.,1
Throwaway account because i feel completely alone even when people are around me. There's this invisible wall between me and everyone else.,1
Just wanted to share. finally finished reading that book I started. It gave me a completely new perspective on my career.,0
Had a great day! my friend group organized a surprise party for my birthday. I feel so blessed to have people who care.,0
Just wanted to share. feeling calm and peaceful after my morning meditation session. Twenty minutes of mindfulness really sets the tone for the day.,0
Enjoyed cooking a new recipe tonight. It turned out way better than expected and my family loved it.,0
I feel exhausted all the time even though I do nothing productive. Just existing takes all my energy.. additionally. I haven't been able to sleep for days and I feel terrible. My mind won't shut off and the exhaustion is killing me.,1
Just finished an amazing workout at the gym. Hit a new personal record on squats and I'm feeling proud.. and. Went to a book club meeting tonight and had a fantastic discussion. Love the intellectual stimulation.,0
Spent quality time with my partner today. We went to a museum and then had dinner at our favorite restaurant.. moreover. Had a great night's sleep and woke up feeling completely refreshed. Today is going to be a good day.,0
My insomnia has gotten so bad that I haven't had a proper night's sleep in weeks. I'm barely functioning.. additionally. I've been sleeping through my alarms and missing work. I just can't seem to care enough to get up anymore.,1
Throwaway account because i've been sleeping through my alarms and missing work. I just can't seem to care enough to get up anymore.,1
Does anyone else feel this way? i keep having breakdowns at random times. In the shower at work while driving. I can't control it.,1
Nobody truly cares about how really I'm doing. When they ask how are you they don't want the real answer.,1
Life has lost all color and meaning. I exist but I don't really live. plus. No matter what I achieve it never feels like enough. The emptiness always comes back stronger than before.,1
I got fired today and I feel like my life is over. I have nothing left and no reason to keep going.,1
Reflected on how much I've grown in the past year. I'm genuinely proud of the person I'm becoming.. additionally. Had a productive study session at the library. Got through two chapters and actually understood everything.,0
Had a great day! had a deep conversation with my mom today. We talked about life and she gave me some amazing advice.,0
I pushed away the truly last person who cared about me. I don't deserve their kindness and they deserve better.,1
My anxiety is through the roof and I can't function normally. Every small task feels like a threat.,1
I hate admitting this but i've been pretending to be okay for so long that I don't remember what okay actually feels like. Everyone thinks I'm fine because I've gotten so good at wearing the mask. But underneath it I'm falling apart piece by piece. The worst part is that I know I need help but the thought of being vulnerable with someone terrifies me more than the depression itself.,1
Good vibes today. had a great night's sleep and woke up feeling completely refreshed. Today is going to be a good day.,0
Honestly i hate looking at myself in the mirror. I see nothing but failure and disappointment staring back at me.,1
